Document_ID,Provinsi,Kategori_Isu,Text,clean,Token,Normalisasi,stopwords
D071,Kalimantan Utara,Pengawasan Logistik,Laporan akhir pengawasan logistik Pemilu dan Pemilihan Tahun 2024 di Provinsi Kalimantan Utara.,laporan akhir pengawasan logistik pemilu dan pemilihan tahun di provinsi kalimantan utara,laporan akhir pengawasan logistik pemilu dan pemilihan tahun di provinsi kalimantan utara,laporan akhir pengawasan logistik pemilu dan pemilihan tahun di provinsi kalimantan utara,laporan akhir pengawasan logistik pemilu pemilihan tahun provinsi kalimantan utara
D072,Kalimantan Utara,Distribusi Logistik,Pengawasan distribusi logistik Pemilu dan Pemilihan di wilayah Kalimantan Utara.,pengawasan distribusi logistik pemilu dan pemilihan di wilayah kalimantan utara,pengawasan distribusi logistik pemilu dan pemilihan di wilayah kalimantan utara,pengawasan distribusi logistik pemilu dan pemilihan di wilayah kalimantan utara,pengawasan distribusi logistik pemilu pemilihan wilayah kalimantan utara
D073,Kalimantan Utara,Pengadaan Logistik,Pengawasan pengadaan logistik Pemilu dan Pemilihan Tahun 2024.,pengawasan pengadaan logistik pemilu dan pemilihan tahun,pengawasan pengadaan logistik pemilu dan pemilihan tahun,pengawasan pengadaan logistik pemilu dan pemilihan tahun,pengawasan pengadaan logistik pemilu pemilihan tahun
D074,Kalimantan Utara,Administrasi Logistik,Pelaporan dan dokumentasi pengawasan logistik Pemilu dan Pemilihan Tahun 2024.,pelaporan dan dokumentasi pengawasan logistik pemilu dan pemilihan tahun,pelaporan dan dokumentasi pengawasan logistik pemilu dan pemilihan tahun,pelaporan dan dokumentasi pengawasan logistik pemilu dan pemilihan tahun,pelaporan dokumentasi pengawasan logistik pemilu pemilihan tahun
D075,Kalimantan Utara,Evaluasi Logistik,Evaluasi pelaksanaan pengawasan logistik Pemilu dan Pemilihan Tahun 2024.,evaluasi pelaksanaan pengawasan logistik pemilu dan pemilihan tahun,evaluasi pelaksanaan pengawasan logistik pemilu dan pemilihan tahun,evaluasi pelaksanaan pengawasan logistik pemilu dan pemilihan tahun,evaluasi pelaksanaan pengawasan logistik pemilu pemilihan tahun
Document_ID,Provinsi,Kategori_Isu,Text,text,text,text,text
D076,Kepulauan Riau,Pengawasan Logistik,Laporan pengawasan logistik Pemilu dan Pemilihan Tahun 2024 di Provinsi Kepulauan Riau.,laporan pengawasan logistik pemilu dan pemilihan tahun di provinsi kepulauan riau,laporan pengawasan logistik pemilu dan pemilihan tahun di provinsi kepulauan riau,laporan pengawasan logistik pemilu dan pemilihan tahun di provinsi kepulauan riau,laporan pengawasan logistik pemilu pemilihan tahun provinsi kepulauan riau
D077,Lampung,Logistik PSU,Pengawasan logistik dalam Pemungutan Suara Ulang (PSU) Kabupaten Pesawaran Tahun 2024.,pengawasan logistik dalam pemungutan suara ulang psu kabupaten pesawaran tahun,pengawasan logistik dalam pemungutan suara ulang psu kabupaten pesawaran tahun,pengawasan logistik dalam pemungutan suara ulang psu kabupaten pesawaran tahun,pengawasan logistik pemungutan suara ulang psu kabupaten pesawaran tahun
D078,Lampung,Pengawasan Logistik,Laporan pengawasan logistik Pemilu dan Pemilihan Kabupaten Tulang Bawang Barat Tahun 2024.,laporan pengawasan logistik pemilu dan pemilihan kabupaten tulang bawang barat tahun,laporan pengawasan logistik pemilu dan pemilihan kabupaten tulang bawang barat tahun,laporan pengawasan logistik pemilu dan pemilihan kabupaten tulang bawang barat tahun,laporan pengawasan logistik pemilu pemilihan kabupaten tulang bawang barat tahun
D079,Lampung,Pengawasan Logistik,Laporan pelaksanaan pengawasan tahapan logistik Kabupaten Tulang Bawang Tahun 2024.,laporan pelaksanaan pengawasan tahapan logistik kabupaten tulang bawang tahun,laporan pelaksanaan pengawasan tahapan logistik kabupaten tulang bawang tahun,laporan pelaksanaan pengawasan tahapan logistik kabupaten tulang bawang tahun,laporan pelaksanaan pengawasan tahapan logistik kabupaten tulang bawang tahun
D080,Lampung,Pengawasan Logistik,Laporan pengawasan logistik Pemilu dan Pemilihan Kabupaten Lampung Timur Tahun 2024.,laporan pengawasan logistik pemilu dan pemilihan kabupaten lampung timur tahun,laporan pengawasan logistik pemilu dan pemilihan kabupaten lampung timur tahun,laporan pengawasan logistik pemilu dan pemilihan kabupaten lampung timur tahun,laporan pengawasan logistik pemilu pemilihan kabupaten lampung timur tahun
D081,Lampung,Pengawasan Logistik,Laporan pengawasan logistik Pemilu dan Pemilihan Kabupaten Way Kanan Tahun 2024.,laporan pengawasan logistik pemilu dan pemilihan kabupaten way kanan tahun,laporan pengawasan logistik pemilu dan pemilihan kabupaten way kanan tahun,laporan pengawasan logistik pemilu dan pemilihan kabupaten way kanan tahun,laporan pengawasan logistik pemilu pemilihan kabupaten way kanan tahun
D082,Lampung,Pengawasan Logistik,Laporan pengawasan logistik Pemilu dan Pemilihan Kabupaten Mesuji Tahun 2024.,laporan pengawasan logistik pemilu dan pemilihan kabupaten mesuji tahun,laporan pengawasan logistik pemilu dan pemilihan kabupaten mesuji tahun,laporan pengawasan logistik pemilu dan pemilihan kabupaten mesuji tahun,laporan pengawasan logistik pemilu pemilihan kabupaten mesuji tahun
D083,Lampung,Pengawasan Logistik,Laporan pengawasan logistik Pemilu dan Pemilihan Kabupaten Lampung Barat Tahun 2024.,laporan pengawasan logistik pemilu dan pemilihan kabupaten lampung barat tahun,laporan pengawasan logistik pemilu dan pemilihan kabupaten lampung barat tahun,laporan pengawasan logistik pemilu dan pemilihan kabupaten lampung barat tahun,laporan pengawasan logistik pemilu pemilihan kabupaten lampung barat tahun
D084,Lampung,Pengawasan Logistik,Laporan pengawasan logistik Pemilu dan Pemilihan Kabupaten Lampung Selatan Tahun 2024.,laporan pengawasan logistik pemilu dan pemilihan kabupaten lampung selatan tahun,laporan pengawasan logistik pemilu dan pemilihan kabupaten lampung selatan tahun,laporan pengawasan logistik pemilu dan pemilihan kabupaten lampung selatan tahun,laporan pengawasan logistik pemilu pemilihan kabupaten lampung selatan tahun
D085,Lampung,Pengawasan Logistik,Laporan pengawasan logistik Pemilu dan Pemilihan Provinsi Lampung Tahun 2024.,laporan pengawasan logistik pemilu dan pemilihan provinsi lampung tahun,laporan pengawasan logistik pemilu dan pemilihan provinsi lampung tahun,laporan pengawasan logistik pemilu dan pemilihan provinsi lampung tahun,laporan pengawasan logistik pemilu pemilihan provinsi lampung tahun
D086,Lampung,Pengawasan Logistik,Laporan pengawasan logistik Pemilu dan Pemilihan Kabupaten Lampung Utara Tahun 2024.,laporan pengawasan logistik pemilu dan pemilihan kabupaten lampung utara tahun,laporan pengawasan logistik pemilu dan pemilihan kabupaten lampung utara tahun,laporan pengawasan logistik pemilu dan pemilihan kabupaten lampung utara tahun,laporan pengawasan logistik pemilu pemilihan kabupaten lampung utara tahun
D087,Lampung,Pengawasan Logistik,Laporan pengawasan logistik Pemilu dan Pemilihan Kabupaten Pesisir Barat Tahun 2024.,laporan pengawasan logistik pemilu dan pemilihan kabupaten pesisir barat tahun,laporan pengawasan logistik pemilu dan pemilihan kabupaten pesisir barat tahun,laporan pengawasan logistik pemilu dan pemilihan kabupaten pesisir barat tahun,laporan pengawasan logistik pemilu pemilihan kabupaten pesisir barat tahun
D088,Lampung,Pengawasan Logistik,Laporan pengawasan logistik Pemilu dan Pemilihan Kota Metro Tahun 2024.,laporan pengawasan logistik pemilu dan pemilihan kota metro tahun,laporan pengawasan logistik pemilu dan pemilihan kota metro tahun,laporan pengawasan logistik pemilu dan pemilihan kota metro tahun,laporan pengawasan logistik pemilu pemilihan kota metro tahun
D089,Lampung,Pengawasan Logistik,Laporan pengawasan logistik Pemilu dan Pemilihan Kabupaten Lampung Tengah Tahun 2024.,laporan pengawasan logistik pemilu dan pemilihan kabupaten lampung tengah tahun,laporan pengawasan logistik pemilu dan pemilihan kabupaten lampung tengah tahun,laporan pengawasan logistik pemilu dan pemilihan kabupaten lampung tengah tahun,laporan pengawasan logistik pemilu pemilihan kabupaten lampung tengah tahun
D090,Lampung,Pengadaan Logistik,Laporan pengawasan pengadaan dan pendistribusian logistik PSU Pemilihan Tahun 2024.,laporan pengawasan pengadaan dan pendistribusian logistik psu pemilihan tahun,laporan pengawasan pengadaan dan pendistribusian logistik psu pemilihan tahun,laporan pengawasan pengadaan dan pendistribusian logistik psu pemilihan tahun,laporan pengawasan pengadaan pendistribusian logistik psu pemilihan tahun
D091,Lampung,Logistik PSU,Laporan logistik PSU Pemilihan Tahun 2024 Kabupaten Pesawaran.,laporan logistik psu pemilihan tahun kabupaten pesawaran,laporan logistik psu pemilihan tahun kabupaten pesawaran,laporan logistik psu pemilihan tahun kabupaten pesawaran,laporan logistik psu pemilihan tahun kabupaten pesawaran
D092,Lampung,Pengawasan Logistik,Laporan akhir pengawasan logistik Pemilu dan Pemilihan Kabupaten Pesawaran Tahun 2024.,laporan akhir pengawasan logistik pemilu dan pemilihan kabupaten pesawaran tahun,laporan akhir pengawasan logistik pemilu dan pemilihan kabupaten pesawaran tahun,laporan akhir pengawasan logistik pemilu dan pemilihan kabupaten pesawaran tahun,laporan akhir pengawasan logistik pemilu pemilihan kabupaten pesawaran tahun
D093,Lampung,Pengawasan Logistik,Laporan pengawasan logistik Pemilu dan Pemilihan Kabupaten Pringsewu Tahun 2024.,laporan pengawasan logistik pemilu dan pemilihan kabupaten pringsewu tahun,laporan pengawasan logistik pemilu dan pemilihan kabupaten pringsewu tahun,laporan pengawasan logistik pemilu dan pemilihan kabupaten pringsewu tahun,laporan pengawasan logistik pemilu pemilihan kabupaten pringsewu tahun
D094,Lampung,Pengawasan Logistik,Laporan pengawasan logistik Pemilu dan Pemilihan Kabupaten Tanggamus Tahun 2024.,laporan pengawasan logistik pemilu dan pemilihan kabupaten tanggamus tahun,laporan pengawasan logistik pemilu dan pemilihan kabupaten tanggamus tahun,laporan pengawasan logistik pemilu dan pemilihan kabupaten tanggamus tahun,laporan pengawasan logistik pemilu pemilihan kabupaten tanggamus tahun
D095,Lampung,Pengawasan Logistik,Laporan pengawasan logistik Pemilu dan Pemilihan Kota Bandar Lampung Tahun 2024.,laporan pengawasan logistik pemilu dan pemilihan kota bandar lampung tahun,laporan pengawasan logistik pemilu dan pemilihan kota bandar lampung tahun,laporan pengawasan logistik pemilu dan pemilihan kota bandar lampung tahun,laporan pengawasan logistik pemilu pemilihan kota bandar lampung tahun
D096,Maluku Utara,Pengawasan Logistik,Laporan pengawasan logistik Pemilihan Tahun 2024 Provinsi Maluku Utara.,laporan pengawasan logistik pemilihan tahun provinsi maluku utara,laporan pengawasan logistik pemilihan tahun provinsi maluku utara,laporan pengawasan logistik pemilihan tahun provinsi maluku utara,laporan pengawasan logistik pemilihan tahun provinsi maluku utara
D097,Maluku,Logistik PSU,Laporan pengawasan logistik Pemungutan Suara Ulang (PSU) Kabupaten Buru Tahun 2024.,laporan pengawasan logistik pemungutan suara ulang psu kabupaten buru tahun,laporan pengawasan logistik pemungutan suara ulang psu kabupaten buru tahun,laporan pengawasan logistik pemungutan suara ulang psu kabupaten buru tahun,laporan pengawasan logistik pemungutan suara ulang psu kabupaten buru tahun
D098,NTB,Pengawasan Logistik,Laporan pengawasan logistik Pemilu dan Pemilihan Provinsi Nusa Tenggara Barat Tahun 2024.,laporan pengawasan logistik pemilu dan pemilihan provinsi nusa tenggara barat tahun,laporan pengawasan logistik pemilu dan pemilihan provinsi nusa tenggara barat tahun,laporan pengawasan logistik pemilu dan pemilihan provinsi nusa tenggara barat tahun,laporan pengawasan logistik pemilu pemilihan provinsi nusa tenggara barat tahun
D099,NTT,Pengawasan Logistik,Laporan pengawasan logistik Pemilu dan Pemilihan Provinsi Nusa Tenggara Timur Tahun 2024.,laporan pengawasan logistik pemilu dan pemilihan provinsi nusa tenggara timur tahun,laporan pengawasan logistik pemilu dan pemilihan provinsi nusa tenggara timur tahun,laporan pengawasan logistik pemilu dan pemilihan provinsi nusa tenggara timur tahun,laporan pengawasan logistik pemilu pemilihan provinsi nusa tenggara timur tahun
D100,Papua Barat,Pengawasan Logistik,Laporan pengawasan logistik Pemilu dan Pemilihan Provinsi Papua Barat Tahun 2024.,laporan pengawasan logistik pemilu dan pemilihan provinsi papua barat tahun,laporan pengawasan logistik pemilu dan pemilihan provinsi papua barat tahun,laporan pengawasan logistik pemilu dan pemilihan provinsi papua barat tahun,laporan pengawasan logistik pemilu pemilihan provinsi papua barat tahun
D101,Papua Barat,Pengawasan Logistik,Laporan pengawasan logistik Pemilihan Serentak Kabupaten Teluk Wondama Tahun 2024.,laporan pengawasan logistik pemilihan serentak kabupaten teluk wondama tahun,laporan pengawasan logistik pemilihan serentak kabupaten teluk wondama tahun,laporan pengawasan logistik pemilihan serentak kabupaten teluk wondama tahun,laporan pengawasan logistik pemilihan serentak kabupaten teluk wondama tahun
D102,Papua Barat,Pengawasan Logistik,Laporan akhir pengawasan logistik Pemilu dan Pemilihan Kabupaten Manokwari Selatan Tahun 2024.,laporan akhir pengawasan logistik pemilu dan pemilihan kabupaten manokwari selatan tahun,laporan akhir pengawasan logistik pemilu dan pemilihan kabupaten manokwari selatan tahun,laporan akhir pengawasan logistik pemilu dan pemilihan kabupaten manokwari selatan tahun,laporan akhir pengawasan logistik pemilu pemilihan kabupaten manokwari selatan tahun
D103,Papua Barat,Pengawasan Logistik,Laporan pengawasan logistik Pemilu dan Pemilihan Kabupaten Fakfak Tahun 2024.,laporan pengawasan logistik pemilu dan pemilihan kabupaten fakfak tahun,laporan pengawasan logistik pemilu dan pemilihan kabupaten fakfak tahun,laporan pengawasan logistik pemilu dan pemilihan kabupaten fakfak tahun,laporan pengawasan logistik pemilu pemilihan kabupaten fakfak tahun
Document_ID,Provinsi,Kategori_Isu,Text,text,text,text,text
D104,Riau,Logistik PSU,Laporan pengawasan logistik pada Pemungutan Suara Ulang (PSU) Tahun 2024 di Provinsi Riau.,laporan pengawasan logistik pada pemungutan suara ulang psu tahun di provinsi riau,laporan pengawasan logistik pada pemungutan suara ulang psu tahun di provinsi riau,laporan pengawasan logistik pada pemungutan suara ulang psu tahun di provinsi riau,laporan pengawasan logistik pemungutan suara ulang psu tahun provinsi riau
D105,Sulawesi Selatan,Pengawasan Logistik,Laporan pengawasan logistik pada Pemilihan Tahun 2024 di Provinsi Sulawesi Selatan.,laporan pengawasan logistik pada pemilihan tahun di provinsi sulawesi selatan,laporan pengawasan logistik pada pemilihan tahun di provinsi sulawesi selatan,laporan pengawasan logistik pada pemilihan tahun di provinsi sulawesi selatan,laporan pengawasan logistik pemilihan tahun provinsi sulawesi selatan
D106,Sulawesi Selatan,Pengawasan Logistik,Laporan pengawasan logistik Pemilihan Tahun 2024 Kabupaten Sidenreng Rappang (Sidrap).,laporan pengawasan logistik pemilihan tahun kabupaten sidenreng rappang sidrap,laporan pengawasan logistik pemilihan tahun kabupaten sidenreng rappang sidrap,laporan pengawasan logistik pemilihan tahun kabupaten sidenreng rappang sidrap,laporan pengawasan logistik pemilihan tahun kabupaten sidenreng rappang sidrap
D107,Sulawesi Selatan,Pengawasan Logistik,Laporan pengawasan logistik Pemilu dan Pemilihan Tahun 2024.,laporan pengawasan logistik pemilu dan pemilihan tahun,laporan pengawasan logistik pemilu dan pemilihan tahun,laporan pengawasan logistik pemilu dan pemilihan tahun,laporan pengawasan logistik pemilu pemilihan tahun
D108,Sulawesi Selatan,Pengawasan Logistik,Laporan pengawasan logistik pada tahapan Pemilihan Tahun 2024.,laporan pengawasan logistik pada tahapan pemilihan tahun,laporan pengawasan logistik pada tahapan pemilihan tahun,laporan pengawasan logistik pada tahapan pemilihan tahun,laporan pengawasan logistik tahapan pemilihan tahun
D109,Sulawesi Selatan,Pengawasan Logistik,Laporan pengawasan logistik Pemilihan Tahun 2024 Kabupaten Jeneponto.,laporan pengawasan logistik pemilihan tahun kabupaten jeneponto,laporan pengawasan logistik pemilihan tahun kabupaten jeneponto,laporan pengawasan logistik pemilihan tahun kabupaten jeneponto,laporan pengawasan logistik pemilihan tahun kabupaten jeneponto
D110,Sulawesi Selatan,Distribusi Logistik,Pengawasan distribusi dan pengelolaan logistik Pemilihan Tahun 2024 Kota Makassar.,pengawasan distribusi dan pengelolaan logistik pemilihan tahun kota makassar,pengawasan distribusi dan pengelolaan logistik pemilihan tahun kota makassar,pengawasan distribusi dan pengelolaan logistik pemilihan tahun kota makassar,pengawasan distribusi pengelolaan logistik pemilihan tahun kota makassar
D111,Sulawesi Selatan,Logistik TPS,Pengawasan kesiapan logistik dan perlengkapan TPS pada Pemilihan Tahun 2024 Kabupaten Toraja Utara.,pengawasan kesiapan logistik dan perlengkapan tps pada pemilihan tahun kabupaten toraja utara,pengawasan kesiapan logistik dan perlengkapan tps pada pemilihan tahun kabupaten toraja utara,pengawasan kesiapan logistik dan perlengkapan tps pada pemilihan tahun kabupaten toraja utara,pengawasan kesiapan logistik perlengkapan tps pemilihan tahun kabupaten toraja utara
D112,Sulawesi Tengah,Logistik PSU,Pengawasan distribusi dan kesiapan logistik pada Pemungutan Suara Ulang (PSU).,pengawasan distribusi dan kesiapan logistik pada pemungutan suara ulang psu,pengawasan distribusi dan kesiapan logistik pada pemungutan suara ulang psu,pengawasan distribusi dan kesiapan logistik pada pemungutan suara ulang psu,pengawasan distribusi kesiapan logistik pemungutan suara ulang psu
D113,Sulawesi Tengah,Distribusi Logistik,"Monitoring pengiriman kotak suara, surat suara, dan perlengkapan pemungutan suara untuk PSU.",monitoring pengiriman kotak suara surat suara dan perlengkapan pemungutan suara untuk psu,monitoring pengiriman kotak suara surat suara dan perlengkapan pemungutan suara untuk psu,monitoring pengiriman kotak suara surat suara dan perlengkapan pemungutan suara untuk psu,monitoring pengiriman kotak suara surat suara perlengkapan pemungutan suara psu
D114,Sulawesi Tenggara,Pengawasan Logistik,Laporan pengawasan logistik Pemilu dan Pemilihan Serentak Tahun 2024 di Provinsi Sulawesi Tenggara.,laporan pengawasan logistik pemilu dan pemilihan serentak tahun di provinsi sulawesi tenggara,laporan pengawasan logistik pemilu dan pemilihan serentak tahun di provinsi sulawesi tenggara,laporan pengawasan logistik pemilu dan pemilihan serentak tahun di provinsi sulawesi tenggara,laporan pengawasan logistik pemilu pemilihan serentak tahun provinsi sulawesi tenggara
D115,Sulawesi Tenggara,Distribusi Logistik,"Pengawasan pemenuhan, penyimpanan, dan distribusi logistik Pemilu dan Pemilihan Tahun 2024.",pengawasan pemenuhan penyimpanan dan distribusi logistik pemilu dan pemilihan tahun,pengawasan pemenuhan penyimpanan dan distribusi logistik pemilu dan pemilihan tahun,pengawasan pemenuhan penyimpanan dan distribusi logistik pemilu dan pemilihan tahun,pengawasan pemenuhan penyimpanan distribusi logistik pemilu pemilihan tahun
D116,Sulawesi Tenggara,Evaluasi Logistik,Evaluasi pelaksanaan pengawasan logistik Pemilu dan Pemilihan Serentak Tahun 2024.,evaluasi pelaksanaan pengawasan logistik pemilu dan pemilihan serentak tahun,evaluasi pelaksanaan pengawasan logistik pemilu dan pemilihan serentak tahun,evaluasi pelaksanaan pengawasan logistik pemilu dan pemilihan serentak tahun,evaluasi pelaksanaan pengawasan logistik pemilu pemilihan serentak tahun
D117,Sumatera Barat,Logistik PSU,Laporan pengawasan logistik Pemungutan Suara Ulang (PSU) pasca putusan Mahkamah Konstitusi.,laporan pengawasan logistik pemungutan suara ulang psu pasca putusan mahkamah konstitusi,laporan pengawasan logistik pemungutan suara ulang psu pasca putusan mahkamah konstitusi,laporan pengawasan logistik pemungutan suara ulang psu pasca putusan mahkamah konstitusi,laporan pengawasan logistik pemungutan suara ulang psu pasca putusan mahkamah konstitusi
D118,Sumatera Barat,Distribusi Logistik PSU,Pengawasan distribusi logistik dan perlengkapan pemungutan suara untuk PSU Kabupaten Pasaman.,pengawasan distribusi logistik dan perlengkapan pemungutan suara untuk psu kabupaten pasaman,pengawasan distribusi logistik dan perlengkapan pemungutan suara untuk psu kabupaten pasaman,pengawasan distribusi logistik dan perlengkapan pemungutan suara untuk psu kabupaten pasaman,pengawasan distribusi logistik perlengkapan pemungutan suara psu kabupaten pasaman
D119,Sumatera Barat,Evaluasi PSU,Evaluasi pelaksanaan pengawasan tahapan PSU dan kesiapan logistik pemilu.,evaluasi pelaksanaan pengawasan tahapan psu dan kesiapan logistik pemilu,evaluasi pelaksanaan pengawasan tahapan psu dan kesiapan logistik pemilu,evaluasi pelaksanaan pengawasan tahapan psu dan kesiapan logistik pemilu,evaluasi pelaksanaan pengawasan tahapan psu kesiapan logistik pemilu
D120,Sumatera Utara,Pengawasan Logistik,Laporan pengawasan logistik Pemilu dan Pemilihan Tahun 2024 Provinsi Sumatera Utara.,laporan pengawasan logistik pemilu dan pemilihan tahun provinsi sumatera utara,laporan pengawasan logistik pemilu dan pemilihan tahun provinsi sumatera utara,laporan pengawasan logistik pemilu dan pemilihan tahun provinsi sumatera utara,laporan pengawasan logistik pemilu pemilihan tahun provinsi sumatera utara
D121,Sumatera Utara,Distribusi Logistik,Pengawasan distribusi logistik Pemilu dan Pemilihan sampai tingkat TPS.,pengawasan distribusi logistik pemilu dan pemilihan sampai tingkat tps,pengawasan distribusi logistik pemilu dan pemilihan sampai tingkat tps,pengawasan distribusi logistik pemilu dan pemilihan sampai tingkat tps,pengawasan distribusi logistik pemilu pemilihan tingkat tps
D122,Sumatera Utara,Kerusakan Logistik,"Pengawasan surat suara rusak, kekurangan logistik, dan proses sortir logistik pemilu.",pengawasan surat suara rusak kekurangan logistik dan proses sortir logistik pemilu,pengawasan surat suara rusak kekurangan logistik dan proses sortir logistik pemilu,pengawasan surat suara rusak kekurangan logistik dan proses sortir logistik pemilu,pengawasan surat suara rusak kekurangan logistik proses sortir logistik pemilu
D123,Sumatera Utara,Evaluasi Logistik,Evaluasi pelaksanaan pengawasan logistik Pemilu dan Pemilihan Tahun 2024.,evaluasi pelaksanaan pengawasan logistik pemilu dan pemilihan tahun,evaluasi pelaksanaan pengawasan logistik pemilu dan pemilihan tahun,evaluasi pelaksanaan pengawasan logistik pemilu dan pemilihan tahun,evaluasi pelaksanaan pengawasan logistik pemilu pemilihan tahun
