Document_ID,Provinsi,Kategori_Isu,Text,clean,Token,Normalisasi,stopwords,stemmer,Berita,Topik_Dominan,Probabilitas_Topik
D090,Lampung,Pengadaan Logistik,Laporan pengawasan pengadaan dan pendistribusian logistik PSU Pemilihan Tahun 2024.,laporan pengawasan pengadaan dan pendistribusian logistik psu pemilihan tahun,laporan pengawasan pengadaan dan pendistribusian logistik psu pemilihan tahun,laporan pengawasan pengadaan dan pendistribusian logistik psu pemilihan tahun,laporan pengawasan pengadaan pendistribusian logistik psu pemilihan tahun,lapor awas ada distribusi logistik psu pilih tahun,lapor awas ada distribusi logistik psu pilih tahun,Topik 7,0.5348803325173362
D091,Lampung,Logistik PSU,Laporan logistik PSU Pemilihan Tahun 2024 Kabupaten Pesawaran.,laporan logistik psu pemilihan tahun kabupaten pesawaran,laporan logistik psu pemilihan tahun kabupaten pesawaran,laporan logistik psu pemilihan tahun kabupaten pesawaran,laporan logistik psu pemilihan tahun kabupaten pesawaran,lapor logistik psu pilih tahun kabupaten sawar,lapor logistik psu pilih tahun kabupaten sawar,Topik 5,0.572730408567207
D092,Lampung,Pengawasan Logistik,Laporan akhir pengawasan logistik Pemilu dan Pemilihan Kabupaten Pesawaran Tahun 2024.,laporan akhir pengawasan logistik pemilu dan pemilihan kabupaten pesawaran tahun,laporan akhir pengawasan logistik pemilu dan pemilihan kabupaten pesawaran tahun,laporan akhir pengawasan logistik pemilu dan pemilihan kabupaten pesawaran tahun,laporan akhir pengawasan logistik pemilu pemilihan kabupaten pesawaran tahun,lapor akhir awas logistik milu pilih kabupaten sawar tahun,lapor akhir awas logistik milu pilih kabupaten sawar tahun,Topik 5,0.7831319431984781
D093,Lampung,Pengawasan Logistik,Laporan pengawasan logistik Pemilu dan Pemilihan Kabupaten Pringsewu Tahun 2024.,laporan pengawasan logistik pemilu dan pemilihan kabupaten pringsewu tahun,laporan pengawasan logistik pemilu dan pemilihan kabupaten pringsewu tahun,laporan pengawasan logistik pemilu dan pemilihan kabupaten pringsewu tahun,laporan pengawasan logistik pemilu pemilihan kabupaten pringsewu tahun,lapor awas logistik milu pilih kabupaten pringsewu tahun,lapor awas logistik milu pilih kabupaten pringsewu tahun,Topik 5,0.8905503039812347
D094,Lampung,Pengawasan Logistik,Laporan pengawasan logistik Pemilu dan Pemilihan Kabupaten Tanggamus Tahun 2024.,laporan pengawasan logistik pemilu dan pemilihan kabupaten tanggamus tahun,laporan pengawasan logistik pemilu dan pemilihan kabupaten tanggamus tahun,laporan pengawasan logistik pemilu dan pemilihan kabupaten tanggamus tahun,laporan pengawasan logistik pemilu pemilihan kabupaten tanggamus tahun,lapor awas logistik milu pilih kabupaten tanggamus tahun,lapor awas logistik milu pilih kabupaten tanggamus tahun,Topik 5,0.8905503039812347
D095,Lampung,Pengawasan Logistik,Laporan pengawasan logistik Pemilu dan Pemilihan Kota Bandar Lampung Tahun 2024.,laporan pengawasan logistik pemilu dan pemilihan kota bandar lampung tahun,laporan pengawasan logistik pemilu dan pemilihan kota bandar lampung tahun,laporan pengawasan logistik pemilu dan pemilihan kota bandar lampung tahun,laporan pengawasan logistik pemilu pemilihan kota bandar lampung tahun,lapor awas logistik milu pilih kota bandar lampung tahun,lapor awas logistik milu pilih kota bandar lampung tahun,Topik 5,0.9027218554340005
D096,Maluku Utara,Pengawasan Logistik,Laporan pengawasan logistik Pemilihan Tahun 2024 Provinsi Maluku Utara.,laporan pengawasan logistik pemilihan tahun provinsi maluku utara,laporan pengawasan logistik pemilihan tahun provinsi maluku utara,laporan pengawasan logistik pemilihan tahun provinsi maluku utara,laporan pengawasan logistik pemilihan tahun provinsi maluku utara,lapor awas logistik pilih tahun provinsi malu utara,lapor awas logistik pilih tahun provinsi malu utara,Topik 8,0.8905422524846694
D097,Maluku,Logistik PSU,Laporan pengawasan logistik Pemungutan Suara Ulang (PSU) Kabupaten Buru Tahun 2024.,laporan pengawasan logistik pemungutan suara ulang psu kabupaten buru tahun,laporan pengawasan logistik pemungutan suara ulang psu kabupaten buru tahun,laporan pengawasan logistik pemungutan suara ulang psu kabupaten buru tahun,laporan pengawasan logistik pemungutan suara ulang psu kabupaten buru tahun,lapor awas logistik mungut suara ulang psu kabupaten buru tahun,lapor awas logistik mungut suara ulang psu kabupaten buru tahun,Topik 7,0.9124161435854473
D098,NTB,Pengawasan Logistik,Laporan pengawasan logistik Pemilu dan Pemilihan Provinsi Nusa Tenggara Barat Tahun 2024.,laporan pengawasan logistik pemilu dan pemilihan provinsi nusa tenggara barat tahun,laporan pengawasan logistik pemilu dan pemilihan provinsi nusa tenggara barat tahun,laporan pengawasan logistik pemilu dan pemilihan provinsi nusa tenggara barat tahun,laporan pengawasan logistik pemilu pemilihan provinsi nusa tenggara barat tahun,lapor awas logistik milu pilih provinsi nusa tenggara barat tahun,lapor awas logistik milu pilih provinsi nusa tenggara barat tahun,Topik 5,0.9204068947630117
D099,NTT,Pengawasan Logistik,Laporan pengawasan logistik Pemilu dan Pemilihan Provinsi Nusa Tenggara Timur Tahun 2024.,laporan pengawasan logistik pemilu dan pemilihan provinsi nusa tenggara timur tahun,laporan pengawasan logistik pemilu dan pemilihan provinsi nusa tenggara timur tahun,laporan pengawasan logistik pemilu dan pemilihan provinsi nusa tenggara timur tahun,laporan pengawasan logistik pemilu pemilihan provinsi nusa tenggara timur tahun,lapor awas logistik milu pilih provinsi nusa tenggara timur tahun,lapor awas logistik milu pilih provinsi nusa tenggara timur tahun,Topik 5,0.7769953067419592
D100,Papua Barat,Pengawasan Logistik,Laporan pengawasan logistik Pemilu dan Pemilihan Provinsi Papua Barat Tahun 2024.,laporan pengawasan logistik pemilu dan pemilihan provinsi papua barat tahun,laporan pengawasan logistik pemilu dan pemilihan provinsi papua barat tahun,laporan pengawasan logistik pemilu dan pemilihan provinsi papua barat tahun,laporan pengawasan logistik pemilu pemilihan provinsi papua barat tahun,lapor awas logistik milu pilih provinsi papua barat tahun,lapor awas logistik milu pilih provinsi papua barat tahun,Topik 5,0.902707881103057
D101,Papua Barat,Pengawasan Logistik,Laporan pengawasan logistik Pemilihan Serentak Kabupaten Teluk Wondama Tahun 2024.,laporan pengawasan logistik pemilihan serentak kabupaten teluk wondama tahun,laporan pengawasan logistik pemilihan serentak kabupaten teluk wondama tahun,laporan pengawasan logistik pemilihan serentak kabupaten teluk wondama tahun,laporan pengawasan logistik pemilihan serentak kabupaten teluk wondama tahun,lapor awas logistik pilih serentak kabupaten teluk wondama tahun,lapor awas logistik pilih serentak kabupaten teluk wondama tahun,Topik 5,0.8905422644362295
D102,Papua Barat,Pengawasan Logistik,Laporan akhir pengawasan logistik Pemilu dan Pemilihan Kabupaten Manokwari Selatan Tahun 2024.,laporan akhir pengawasan logistik pemilu dan pemilihan kabupaten manokwari selatan tahun,laporan akhir pengawasan logistik pemilu dan pemilihan kabupaten manokwari selatan tahun,laporan akhir pengawasan logistik pemilu dan pemilihan kabupaten manokwari selatan tahun,laporan akhir pengawasan logistik pemilu pemilihan kabupaten manokwari selatan tahun,lapor akhir awas logistik milu pilih kabupaten manokwari selatan tahun,lapor akhir awas logistik milu pilih kabupaten manokwari selatan tahun,Topik 5,0.9124368157795044
D103,Papua Barat,Pengawasan Logistik,Laporan pengawasan logistik Pemilu dan Pemilihan Kabupaten Fakfak Tahun 2024.,laporan pengawasan logistik pemilu dan pemilihan kabupaten fakfak tahun,laporan pengawasan logistik pemilu dan pemilihan kabupaten fakfak tahun,laporan pengawasan logistik pemilu dan pemilihan kabupaten fakfak tahun,laporan pengawasan logistik pemilu pemilihan kabupaten fakfak tahun,lapor awas logistik milu pilih kabupaten fakfak tahun,lapor awas logistik milu pilih kabupaten fakfak tahun,Topik 5,0.8905503039812347
Document_ID,Provinsi,Kategori_Isu,Text,text,text,text,text,text,text,Topik 8,0.5624998876109575
D104,Riau,Logistik PSU,Laporan pengawasan logistik pada Pemungutan Suara Ulang (PSU) Tahun 2024 di Provinsi Riau.,laporan pengawasan logistik pada pemungutan suara ulang psu tahun di provinsi riau,laporan pengawasan logistik pada pemungutan suara ulang psu tahun di provinsi riau,laporan pengawasan logistik pada pemungutan suara ulang psu tahun di provinsi riau,laporan pengawasan logistik pemungutan suara ulang psu tahun provinsi riau,lapor awas logistik mungut suara ulang psu tahun provinsi riau,lapor awas logistik mungut suara ulang psu tahun provinsi riau,Topik 7,0.9203813290949479
D105,Sulawesi Selatan,Pengawasan Logistik,Laporan pengawasan logistik pada Pemilihan Tahun 2024 di Provinsi Sulawesi Selatan.,laporan pengawasan logistik pada pemilihan tahun di provinsi sulawesi selatan,laporan pengawasan logistik pada pemilihan tahun di provinsi sulawesi selatan,laporan pengawasan logistik pada pemilihan tahun di provinsi sulawesi selatan,laporan pengawasan logistik pemilihan tahun provinsi sulawesi selatan,lapor awas logistik pilih tahun provinsi sulawesi selatan,lapor awas logistik pilih tahun provinsi sulawesi selatan,Topik 8,0.9027062396528754
D106,Sulawesi Selatan,Pengawasan Logistik,Laporan pengawasan logistik Pemilihan Tahun 2024 Kabupaten Sidenreng Rappang (Sidrap).,laporan pengawasan logistik pemilihan tahun kabupaten sidenreng rappang sidrap,laporan pengawasan logistik pemilihan tahun kabupaten sidenreng rappang sidrap,laporan pengawasan logistik pemilihan tahun kabupaten sidenreng rappang sidrap,laporan pengawasan logistik pemilihan tahun kabupaten sidenreng rappang sidrap,lapor awas logistik pilih tahun kabupaten sidenreng rappang sidrap,lapor awas logistik pilih tahun kabupaten sidenreng rappang sidrap,Topik 5,0.8749202950702594
D107,Sulawesi Selatan,Pengawasan Logistik,Laporan pengawasan logistik Pemilu dan Pemilihan Tahun 2024.,laporan pengawasan logistik pemilu dan pemilihan tahun,laporan pengawasan logistik pemilu dan pemilihan tahun,laporan pengawasan logistik pemilu dan pemilihan tahun,laporan pengawasan logistik pemilu pemilihan tahun,lapor awas logistik milu pilih tahun,lapor awas logistik milu pilih tahun,Topik 5,0.874905889137052
D108,Sulawesi Selatan,Pengawasan Logistik,Laporan pengawasan logistik pada tahapan Pemilihan Tahun 2024.,laporan pengawasan logistik pada tahapan pemilihan tahun,laporan pengawasan logistik pada tahapan pemilihan tahun,laporan pengawasan logistik pada tahapan pemilihan tahun,laporan pengawasan logistik tahapan pemilihan tahun,lapor awas logistik tahap pilih tahun,lapor awas logistik tahap pilih tahun,Topik 5,0.6891447854285624
D109,Sulawesi Selatan,Pengawasan Logistik,Laporan pengawasan logistik Pemilihan Tahun 2024 Kabupaten Jeneponto.,laporan pengawasan logistik pemilihan tahun kabupaten jeneponto,laporan pengawasan logistik pemilihan tahun kabupaten jeneponto,laporan pengawasan logistik pemilihan tahun kabupaten jeneponto,laporan pengawasan logistik pemilihan tahun kabupaten jeneponto,lapor awas logistik pilih tahun kabupaten jeneponto,lapor awas logistik pilih tahun kabupaten jeneponto,Topik 5,0.8749202950702594
D110,Sulawesi Selatan,Distribusi Logistik,Pengawasan distribusi dan pengelolaan logistik Pemilihan Tahun 2024 Kota Makassar.,pengawasan distribusi dan pengelolaan logistik pemilihan tahun kota makassar,pengawasan distribusi dan pengelolaan logistik pemilihan tahun kota makassar,pengawasan distribusi dan pengelolaan logistik pemilihan tahun kota makassar,pengawasan distribusi pengelolaan logistik pemilihan tahun kota makassar,awas distribusi kelola logistik pilih tahun kota makassar,awas distribusi kelola logistik pilih tahun kota makassar,Topik 5,0.5082748122191949
D111,Sulawesi Selatan,Logistik TPS,Pengawasan kesiapan logistik dan perlengkapan TPS pada Pemilihan Tahun 2024 Kabupaten Toraja Utara.,pengawasan kesiapan logistik dan perlengkapan tps pada pemilihan tahun kabupaten toraja utara,pengawasan kesiapan logistik dan perlengkapan tps pada pemilihan tahun kabupaten toraja utara,pengawasan kesiapan logistik dan perlengkapan tps pada pemilihan tahun kabupaten toraja utara,pengawasan kesiapan logistik perlengkapan tps pemilihan tahun kabupaten toraja utara,awas kesiap logistik lengkap tps pilih tahun kabupaten toraja utara,awas kesiap logistik lengkap tps pilih tahun kabupaten toraja utara,Topik 5,0.3748248497055457
D112,Sulawesi Tengah,Logistik PSU,Pengawasan distribusi dan kesiapan logistik pada Pemungutan Suara Ulang (PSU).,pengawasan distribusi dan kesiapan logistik pada pemungutan suara ulang psu,pengawasan distribusi dan kesiapan logistik pada pemungutan suara ulang psu,pengawasan distribusi dan kesiapan logistik pada pemungutan suara ulang psu,pengawasan distribusi kesiapan logistik pemungutan suara ulang psu,awas distribusi kesiap logistik mungut suara ulang psu,awas distribusi kesiap logistik mungut suara ulang psu,Topik 7,0.7725998944235287
D113,Sulawesi Tengah,Distribusi Logistik,"Monitoring pengiriman kotak suara, surat suara, dan perlengkapan pemungutan suara untuk PSU.",monitoring pengiriman kotak suara surat suara dan perlengkapan pemungutan suara untuk psu,monitoring pengiriman kotak suara surat suara dan perlengkapan pemungutan suara untuk psu,monitoring pengiriman kotak suara surat suara dan perlengkapan pemungutan suara untuk psu,monitoring pengiriman kotak suara surat suara perlengkapan pemungutan suara psu,monitoring kirim kotak suara surat suara lengkap mungut suara psu,monitoring kirim kotak suara surat suara lengkap mungut suara psu,Topik 4,0.9124518355467448
D114,Sulawesi Tenggara,Pengawasan Logistik,Laporan pengawasan logistik Pemilu dan Pemilihan Serentak Tahun 2024 di Provinsi Sulawesi Tenggara.,laporan pengawasan logistik pemilu dan pemilihan serentak tahun di provinsi sulawesi tenggara,laporan pengawasan logistik pemilu dan pemilihan serentak tahun di provinsi sulawesi tenggara,laporan pengawasan logistik pemilu dan pemilihan serentak tahun di provinsi sulawesi tenggara,laporan pengawasan logistik pemilu pemilihan serentak tahun provinsi sulawesi tenggara,lapor awas logistik milu pilih serentak tahun provinsi sulawesi tenggara,lapor awas logistik milu pilih serentak tahun provinsi sulawesi tenggara,Topik 8,0.9203986937243016
D115,Sulawesi Tenggara,Distribusi Logistik,"Pengawasan pemenuhan, penyimpanan, dan distribusi logistik Pemilu dan Pemilihan Tahun 2024.",pengawasan pemenuhan penyimpanan dan distribusi logistik pemilu dan pemilihan tahun,pengawasan pemenuhan penyimpanan dan distribusi logistik pemilu dan pemilihan tahun,pengawasan pemenuhan penyimpanan dan distribusi logistik pemilu dan pemilihan tahun,pengawasan pemenuhan penyimpanan distribusi logistik pemilu pemilihan tahun,awas penuh simpan distribusi logistik milu pilih tahun,awas penuh simpan distribusi logistik milu pilih tahun,Topik 2,0.8905306361118825
D116,Sulawesi Tenggara,Evaluasi Logistik,Evaluasi pelaksanaan pengawasan logistik Pemilu dan Pemilihan Serentak Tahun 2024.,evaluasi pelaksanaan pengawasan logistik pemilu dan pemilihan serentak tahun,evaluasi pelaksanaan pengawasan logistik pemilu dan pemilihan serentak tahun,evaluasi pelaksanaan pengawasan logistik pemilu dan pemilihan serentak tahun,evaluasi pelaksanaan pengawasan logistik pemilu pemilihan serentak tahun,evaluasi laksana awas logistik milu pilih serentak tahun,evaluasi laksana awas logistik milu pilih serentak tahun,Topik 8,0.9026992681859679
D117,Sumatera Barat,Logistik PSU,Laporan pengawasan logistik Pemungutan Suara Ulang (PSU) pasca putusan Mahkamah Konstitusi.,laporan pengawasan logistik pemungutan suara ulang psu pasca putusan mahkamah konstitusi,laporan pengawasan logistik pemungutan suara ulang psu pasca putusan mahkamah konstitusi,laporan pengawasan logistik pemungutan suara ulang psu pasca putusan mahkamah konstitusi,laporan pengawasan logistik pemungutan suara ulang psu pasca putusan mahkamah konstitusi,lapor awas logistik mungut suara ulang psu pasca putus mahkamah konstitusi,lapor awas logistik mungut suara ulang psu pasca putus mahkamah konstitusi,Topik 7,0.8905371817655885
D118,Sumatera Barat,Distribusi Logistik PSU,Pengawasan distribusi logistik dan perlengkapan pemungutan suara untuk PSU Kabupaten Pasaman.,pengawasan distribusi logistik dan perlengkapan pemungutan suara untuk psu kabupaten pasaman,pengawasan distribusi logistik dan perlengkapan pemungutan suara untuk psu kabupaten pasaman,pengawasan distribusi logistik dan perlengkapan pemungutan suara untuk psu kabupaten pasaman,pengawasan distribusi logistik perlengkapan pemungutan suara psu kabupaten pasaman,awas distribusi logistik lengkap mungut suara psu kabupaten pasaman,awas distribusi logistik lengkap mungut suara psu kabupaten pasaman,Topik 7,0.7290462237942938
D119,Sumatera Barat,Evaluasi PSU,Evaluasi pelaksanaan pengawasan tahapan PSU dan kesiapan logistik pemilu.,evaluasi pelaksanaan pengawasan tahapan psu dan kesiapan logistik pemilu,evaluasi pelaksanaan pengawasan tahapan psu dan kesiapan logistik pemilu,evaluasi pelaksanaan pengawasan tahapan psu dan kesiapan logistik pemilu,evaluasi pelaksanaan pengawasan tahapan psu kesiapan logistik pemilu,evaluasi laksana awas tahap psu kesiap logistik milu,evaluasi laksana awas tahap psu kesiap logistik milu,Topik 1,0.9026166497606839
D120,Sumatera Utara,Pengawasan Logistik,Laporan pengawasan logistik Pemilu dan Pemilihan Tahun 2024 Provinsi Sumatera Utara.,laporan pengawasan logistik pemilu dan pemilihan tahun provinsi sumatera utara,laporan pengawasan logistik pemilu dan pemilihan tahun provinsi sumatera utara,laporan pengawasan logistik pemilu dan pemilihan tahun provinsi sumatera utara,laporan pengawasan logistik pemilu pemilihan tahun provinsi sumatera utara,lapor awas logistik milu pilih tahun provinsi sumatera utara,lapor awas logistik milu pilih tahun provinsi sumatera utara,Topik 8,0.9026961419910797
D121,Sumatera Utara,Distribusi Logistik,Pengawasan distribusi logistik Pemilu dan Pemilihan sampai tingkat TPS.,pengawasan distribusi logistik pemilu dan pemilihan sampai tingkat tps,pengawasan distribusi logistik pemilu dan pemilihan sampai tingkat tps,pengawasan distribusi logistik pemilu dan pemilihan sampai tingkat tps,pengawasan distribusi logistik pemilu pemilihan tingkat tps,awas distribusi logistik milu pilih tingkat tps,awas distribusi logistik milu pilih tingkat tps,Topik 2,0.5512906350506557
D122,Sumatera Utara,Kerusakan Logistik,"Pengawasan surat suara rusak, kekurangan logistik, dan proses sortir logistik pemilu.",pengawasan surat suara rusak kekurangan logistik dan proses sortir logistik pemilu,pengawasan surat suara rusak kekurangan logistik dan proses sortir logistik pemilu,pengawasan surat suara rusak kekurangan logistik dan proses sortir logistik pemilu,pengawasan surat suara rusak kekurangan logistik proses sortir logistik pemilu,awas surat suara rusak kurang logistik proses sortir logistik milu,awas surat suara rusak kurang logistik proses sortir logistik milu,Topik 2,0.5856383053985668
D123,Sumatera Utara,Evaluasi Logistik,Evaluasi pelaksanaan pengawasan logistik Pemilu dan Pemilihan Tahun 2024.,evaluasi pelaksanaan pengawasan logistik pemilu dan pemilihan tahun,evaluasi pelaksanaan pengawasan logistik pemilu dan pemilihan tahun,evaluasi pelaksanaan pengawasan logistik pemilu dan pemilihan tahun,evaluasi pelaksanaan pengawasan logistik pemilu pemilihan tahun,evaluasi laksana awas logistik milu pilih tahun,evaluasi laksana awas logistik milu pilih tahun,Topik 8,0.8905244059660606
